MES_REFERENCIA;SUBMERCADO;PERIODO_COMERCIALIZACAO;DIA;HORA;PLD_HORA
202512;SUL;671;28;22;212.79
202512;NORDESTE;672;28;23;211.53
202512;NORTE;672;28;23;211.54
202512;SUDESTE;672;28;23;211.54
202512;SUL;672;28;23;211.53
202512;NORDESTE;625;27;0;203.42
202512;NORTE;625;27;0;203.43
202512;SUDESTE;625;27;0;203.43
202512;SUL;625;27;0;203.42
202512;NORDESTE;626;27;1;198.29
202512;NORTE;626;27;1;198.3
202512;SUDESTE;626;27;1;198.3
202512;SUL;626;27;1;198.29
202512;NORDESTE;627;27;2;194.31
202512;NORTE;627;27;2;194.32
202512;SUDESTE;627;27;2;194.31
202512;SUL;627;27;2;194.3
202512;NORDESTE;628;27;3;191.86
202512;NORTE;628;27;3;191.87
202512;SUDESTE;628;27;3;191.86
202512;SUL;628;27;3;191.86
202512;NORDESTE;629;27;4;193.38
202512;NORTE;629;27;4;193.39
202512;SUDESTE;629;27;4;193.39
202512;SUL;629;27;4;193.38
202512;NORDESTE;630;27;5;190.46
202512;NORTE;630;27;5;190.47
202512;SUDESTE;630;27;5;190.47
202512;SUL;630;27;5;190.47
202512;NORDESTE;631;27;6;185.31
202512;NORTE;631;27;6;185.32
202512;SUDESTE;631;27;6;185.32
202512;SUL;631;27;6;185.32
202512;NORDESTE;632;27;7;173.28
202512;NORTE;632;27;7;173.29
202512;SUDESTE;632;27;7;173.29
202512;SUL;632;27;7;173.3
202512;NORDESTE;633;27;8;58.6
202512;NORTE;633;27;8;58.6
202512;SUDESTE;633;27;8;58.6
202512;SUL;633;27;8;58.6
202512;NORDESTE;634;27;9;58.6
202512;NORTE;634;27;9;58.6
202512;SUDESTE;634;27;9;58.6
202512;SUL;634;27;9;58.6
202512;NORDESTE;635;27;10;58.6
202512;NORTE;635;27;10;58.6
202512;SUDESTE;635;27;10;58.6
202512;SUL;635;27;10;58.6
202512;NORDESTE;636;27;11;58.6
202512;NORTE;636;27;11;58.6
202512;SUDESTE;636;27;11;58.6
202512;SUL;636;27;11;58.6
202512;NORDESTE;637;27;12;58.6
202512;NORTE;637;27;12;58.6
202512;SUDESTE;637;27;12;58.6
202512;SUL;637;27;12;58.6
202512;NORDESTE;638;27;13;58.6
202512;NORTE;638;27;13;58.6
202512;SUDESTE;638;27;13;58.6
202512;SUL;638;27;13;58.6
202512;NORDESTE;639;27;14;75.91
202512;NORTE;639;27;14;75.92
202512;SUDESTE;639;27;14;75.91
202512;SUL;639;27;14;75.92
202512;NORDESTE;640;27;15;177.71
202512;NORTE;640;27;15;177.71
202512;SUDESTE;640;27;15;177.71
202512;SUL;640;27;15;177.72
202512;NORDESTE;641;27;16;186.2
202512;NORTE;641;27;16;186.21
202512;SUDESTE;641;27;16;186.2
202512;SUL;641;27;16;186.2
202512;NORDESTE;642;27;17;199.1
202512;NORTE;642;27;17;199.1
202512;SUDESTE;642;27;17;199.1
202512;SUL;642;27;17;199.09
202512;NORDESTE;643;27;18;207.17
202512;NORTE;643;27;18;207.18
202512;SUDESTE;643;27;18;207.18
202512;SUL;643;27;18;207.17
202512;NORDESTE;644;27;19;209.87
202512;NORTE;644;27;19;209.88
202512;SUDESTE;644;27;19;209.88
202512;SUL;644;27;19;209.87
202512;NORDESTE;645;27;20;206.68
202512;NORTE;645;27;20;206.69
202512;SUDESTE;645;27;20;206.69
202512;SUL;645;27;20;206.69
202512;NORDESTE;646;27;21;204.76
202512;NORTE;646;27;21;204.77
202512;SUDESTE;646;27;21;204.77
202512;SUL;646;27;21;204.77
202512;NORDESTE;647;27;22;204.63
202512;NORTE;647;27;22;204.64
202512;SUDESTE;647;27;22;204.64
202512;SUL;647;27;22;204.63
202512;NORDESTE;648;27;23;202.59
202512;NORTE;648;27;23;202.6
202512;SUDESTE;648;27;23;202.59
202512;SUL;648;27;23;202.58
202512;NORDESTE;601;26;0;238.78
202512;NORTE;601;26;0;238.79
202512;SUDESTE;601;26;0;238.79
202512;SUL;601;26;0;238.78
202512;NORDESTE;602;26;1;235.27
202512;NORTE;602;26;1;235.28
202512;SUDESTE;602;26;1;235.27
202512;SUL;602;26;1;235.27
202512;NORDESTE;603;26;2;232.8
202512;NORTE;603;26;2;232.81
202512;SUDESTE;603;26;2;232.81
202512;SUL;603;26;2;232.81
202512;NORDESTE;604;26;3;230.74
202512;NORTE;604;26;3;230.75
202512;SUDESTE;604;26;3;230.74
202512;SUL;604;26;3;230.74
202512;NORDESTE;605;26;4;230.83
202512;NORTE;605;26;4;230.84
202512;SUDESTE;605;26;4;230.83
202512;SUL;605;26;4;230.83
202512;NORDESTE;606;26;5;230.54
202512;NORTE;606;26;5;230.55
202512;SUDESTE;606;26;5;230.54
202512;SUL;606;26;5;230.54
202512;NORDESTE;607;26;6;227.84
202512;NORTE;607;26;6;227.85
202512;SUDESTE;607;26;6;227.85
202512;SUL;607;26;6;227.85
202512;NORDESTE;608;26;7;218.75
202512;NORTE;608;26;7;218.76
202512;SUDESTE;608;26;7;218.75
202512;SUL;608;26;7;218.76
202512;NORDESTE;609;26;8;202.23
202512;NORTE;609;26;8;202.24
202512;SUDESTE;609;26;8;202.24
202512;SUL;609;26;8;202.25
202512;NORDESTE;610;26;9;58.6
202512;NORTE;610;26;9;58.6
202512;SUDESTE;610;26;9;58.6
202512;SUL;610;26;9;58.6
202512;NORDESTE;611;26;10;58.6
202512;NORTE;611;26;10;58.6
202512;SUDESTE;611;26;10;58.6
202512;SUL;611;26;10;58.6
202512;NORDESTE;612;26;11;58.6
202512;NORTE;612;26;11;58.6
202512;SUDESTE;612;26;11;58.6
202512;SUL;612;26;11;58.6
202512;NORDESTE;613;26;12;58.6
202512;NORTE;613;26;12;58.6
202512;SUDESTE;613;26;12;58.6
202512;SUL;613;26;12;58.6
202512;NORDESTE;614;26;13;185.96
202512;NORTE;614;26;13;185.97
202512;SUDESTE;614;26;13;185.96
202512;SUL;614;26;13;185.97
202512;NORDESTE;615;26;14;224.95
202512;NORTE;615;26;14;224.96
202512;SUDESTE;615;26;14;224.95
202512;SUL;615;26;14;224.96
202512;NORDESTE;616;26;15;229.21
202512;NORTE;616;26;15;229.22
202512;SUDESTE;616;26;15;229.22
202512;SUL;616;26;15;229.22
202512;NORDESTE;617;26;16;233.41
202512;NORTE;617;26;16;233.41
202512;SUDESTE;617;26;16;233.41
202512;SUL;617;26;16;233.41
202512;NORDESTE;618;26;17;237.57
202512;NORTE;618;26;17;237.57
202512;SUDESTE;618;26;17;237.57
202512;SUL;618;26;17;237.57
202512;NORDESTE;619;26;18;240.37
202512;NORTE;619;26;18;240.38
202512;SUDESTE;619;26;18;240.38
202512;SUL;619;26;18;240.38
202512;NORDESTE;620;26;19;241.58
202512;NORTE;620;26;19;241.59
202512;SUDESTE;620;26;19;241.93
202512;SUL;620;26;19;241.93
202512;NORDESTE;621;26;20;239.57
202512;NORTE;621;26;20;239.58
202512;SUDESTE;621;26;20;242.32
202512;SUL;621;26;20;242.32
202512;NORDESTE;622;26;21;239.46
202512;NORTE;622;26;21;239.47
202512;SUDESTE;622;26;21;240.52
202512;SUL;622;26;21;240.52
202512;NORDESTE;623;26;22;238.35
202512;NORTE;623;26;22;238.36
202512;SUDESTE;623;26;22;238.36
202512;SUL;623;26;22;238.36
202512;NORDESTE;624;26;23;236.51
202512;NORTE;624;26;23;236.52
202512;SUDESTE;624;26;23;236.52
202512;SUL;624;26;23;236.52
202512;NORDESTE;577;25;0;231.5
202512;NORTE;577;25;0;231.51
202512;SUDESTE;577;25;0;231.51
202512;SUL;577;25;0;231.51
202512;NORDESTE;578;25;1;232.1
202512;NORTE;578;25;1;232.11
202512;SUDESTE;578;25;1;232.11
202512;SUL;578;25;1;232.11
202512;NORDESTE;579;25;2;231.51
202512;NORTE;579;25;2;231.52
202512;SUDESTE;579;25;2;231.52
202512;SUL;579;25;2;231.52
202512;NORDESTE;580;25;3;230.46
202512;NORTE;580;25;3;230.47
202512;SUDESTE;580;25;3;230.47
202512;SUL;580;25;3;230.47
202512;NORDESTE;581;25;4;230.19
202512;NORTE;581;25;4;230.2
202512;SUDESTE;581;25;4;230.19
202512;SUL;581;25;4;230.19
202512;NORDESTE;582;25;5;229.14
202512;NORTE;582;25;5;229.15
202512;SUDESTE;582;25;5;229.14
202512;SUL;582;25;5;229.14
202512;NORDESTE;583;25;6;218.28
202512;NORTE;583;25;6;218.29
202512;SUDESTE;583;25;6;218.28
202512;SUL;583;25;6;218.29
202512;NORDESTE;584;25;7;58.6
202512;NORTE;584;25;7;58.6
202512;SUDESTE;584;25;7;58.6
202512;SUL;584;25;7;58.6
202512;NORDESTE;585;25;8;58.6
202512;NORTE;585;25;8;58.6
202512;SUDESTE;585;25;8;58.6
202512;SUL;585;25;8;58.6
202512;NORDESTE;586;25;9;58.6
202512;NORTE;586;25;9;58.6
202512;SUDESTE;586;25;9;58.6
202512;SUL;586;25;9;58.6
202512;NORDESTE;587;25;10;58.6
202512;NORTE;587;25;10;58.6
202512;SUDESTE;587;25;10;58.6
202512;SUL;587;25;10;58.6
202512;NORDESTE;588;25;11;58.6
202512;NORTE;588;25;11;58.6
202512;SUDESTE;588;25;11;58.6
202512;SUL;588;25;11;58.6
202512;NORDESTE;589;25;12;58.6
202512;NORTE;589;25;12;58.6
202512;SUDESTE;589;25;12;58.6
202512;SUL;589;25;12;58.6
202512;NORDESTE;590;25;13;58.6
202512;NORTE;590;25;13;58.6
202512;SUDESTE;590;25;13;58.6
202512;SUL;590;25;13;58.6
202512;NORDESTE;591;25;14;58.6
202512;NORTE;591;25;14;58.6
202512;SUDESTE;591;25;14;58.6
202512;SUL;591;25;14;58.6
202512;NORDESTE;592;25;15;58.6
202512;NORTE;592;25;15;58.6
202512;SUDESTE;592;25;15;58.6
202512;SUL;592;25;15;58.6
202512;NORDESTE;593;25;16;218.98
202512;NORTE;593;25;16;218.99
202512;SUDESTE;593;25;16;218.98
202512;SUL;593;25;16;218.99
202512;NORDESTE;594;25;17;229.91
202512;NORTE;594;25;17;229.91
202512;SUDESTE;594;25;17;229.91
202512;SUL;594;25;17;229.92
202512;NORDESTE;595;25;18;236.26
202512;NORTE;595;25;18;236.27
202512;SUDESTE;595;25;18;236.27
202512;SUL;595;25;18;236.27
202512;NORDESTE;596;25;19;238.58
202512;NORTE;596;25;19;238.58
202512;SUDESTE;596;25;19;238.58
202512;SUL;596;25;19;238.58
202512;NORDESTE;597;25;20;238.22
202512;NORTE;597;25;20;238.23
202512;SUDESTE;597;25;20;238.23
202512;SUL;597;25;20;238.23
